predictor,n,diagnosis,score_fun,score
DNN,14,NORM,Recall,0.9483805668016194
DNN,14,NORM,Specificity,0.6499589153656532
DNN,14,NORM,F1 score,0.7921847246891652
DNN,14,CD,Precision,0.5988372093023255
DNN,14,CD,Recall,0.8556149732620321
DNN,14,CD,Specificity,0.8852192744991879
DNN,14,CD,F1 score,0.7114967462039046
DNN,14,HYP,Precision,0.5344129554655871
DNN,14,HYP,Recall,0.6391304347826087
DNN,14,HYP,Specificity,0.9371543489190548
DNN,14,HYP,F1 score,0.5934959349593496
DNN,14,MI,Precision,0.48095238095238096
DNN,14,MI,Recall,0.4767932489451477
DNN,14,MI,Specificity,0.9407894736842105
DNN,14,MI,F1 score,0.48404255319148937
DNN,14,STTC,Precision,0.5042016806722689
DNN,14,STTC,Recall,0.2840909090909091
DNN,14,STTC,Specificity,0.971712158808933
DNN,14,STTC,F1 score,0.3665338645418327
DNN,15,NORM,Precision,0.6741486068111455
DNN,15,NORM,Recall,0.948432760364004
DNN,15,NORM,Specificity,0.6502820306204674
DNN,15,NORM,F1 score,0.7923008057296329
DNN,15,CD,Precision,0.5992438563327032
DNN,15,CD,Recall,0.8559782608695652
DNN,15,CD,Specificity,0.8858397365532382
DNN,15,CD,F1 score,0.7120669056152927
DNN,15,HYP,Precision,0.5350553505535055
DNN,15,HYP,Recall,0.6394230769230769
DNN,15,HYP,Specificity,0.937246963562753
DNN,15,HYP,F1 score,0.5944700460829493
DNN,15,MI,Precision,0.481651376146789
DNN,15,MI,Recall,0.4780701754385965
DNN,15,MI,Specificity,0.9407894736842105
DNN,15,MI,F1 score,0.4852607709750567
DNN,15,STTC,Precision,0.5042735042735043
DNN,15,STTC,Recall,0.2848101265822785
DNN,15,STTC,Specificity,0.971712158808933
DNN,15,STTC,F1 score,0.3706293706293706
DNN,16,NORM,Precision,0.6744890234670704
DNN,16,NORM,Recall,0.9485530546623794
DNN,16,NORM,Specificity,0.6507177033492823
DNN,16,NORM,F1 score,0.7924865831842576
DNN,16,CD,Precision,0.5996131528046421
DNN,16,CD,Recall,0.8563218390804598
DNN,16,CD,Specificity,0.8858695652173914
DNN,16,CD,F1 score,0.7122060470324748
DNN,16,HYP,Precision,0.5358649789029536
DNN,16,HYP,Recall,0.6401869158878505
DNN,16,HYP,Specificity,0.9373737373737374
DNN,16,HYP,F1 score,0.5947136563876652
DNN,16,MI,Precision,0.48214285714285715
DNN,16,MI,Recall,0.4789473684210526
DNN,16,MI,Specificity,0.9408792319353209
DNN,16,MI,F1 score,0.4859335038363171
DNN,16,STTC,Precision,0.5046728971962616
DNN,16,STTC,Recall,0.2857142857142857
DNN,16,STTC,Specificity,0.9720976581963129
DNN,16,STTC,F1 score,0.3716216216216216
DNN,17,NORM,Precision,0.6747787610619469
DNN,17,NORM,Recall,0.9486373165618449
DNN,17,NORM,Specificity,0.650974025974026
DNN,17,NORM,F1 score,0.7925366503776099
DNN,17,CD,Precision,0.6008064516129032
DNN,17,CD,Recall,0.8563685636856369
DNN,17,CD,Specificity,0.885945945945946
DNN,17,CD,F1 score,0.7122641509433962
DNN,17,HYP,Precision,0.5384615384615384
DNN,17,HYP,Recall,0.6402116402116402
DNN,17,HYP,Specificity,0.9374369323915237
DNN,17,HYP,F1 score,0.5950782997762863
DNN,17,MI,Precision,0.4827586206896552
DNN,17,MI,Recall,0.4790697674418605
DNN,17,MI,Specificity,0.9410876132930514
DNN,17,MI,F1 score,0.48621553884711777
DNN,17,STTC,Precision,0.504950495049505
DNN,17,STTC,Recall,0.2857142857142857
DNN,17,STTC,Specificity,0.9721115537848606
DNN,17,STTC,F1 score,0.37174721189591076
DNN,18,NORM,Precision,0.6755485893416928
DNN,18,NORM,Recall,0.9488465396188566
DNN,18,NORM,Specificity,0.6512570965125709
DNN,18,NORM,F1 score,0.7925386715195633
DNN,18,CD,Precision,0.6008403361344538
DNN,18,CD,Recall,0.8567493112947658
DNN,18,CD,Specificity,0.8859504132231405
DNN,18,CD,F1 score,0.7123287671232876
DNN,18,HYP,Precision,0.5390625
DNN,18,HYP,Recall,0.640625
DNN,18,HYP,Specificity,0.9375634517766498
DNN,18,HYP,F1 score,0.5952890792291221
DNN,18,MI,Precision,0.4829059829059829
DNN,18,MI,Recall,0.4791666666666667
DNN,18,MI,Specificity,0.9411463664278403
